Name,original_title,genre,year,origin country,Archive Link,IMDB Link,Case type,Material period from,Material period up to,Description,File number to quote,Creating body position,Subjects,Bodies,Place,Events,Persons
נשיכות קטנות,The Lost Boys,"Comedy, Horror",1987,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170681094528,https://www.imdb.com/title/tt0093437,תיק מסמכים,01/11/1988,31/12/1988," המועצה לביקורת סרטים ומחזות- הסרט ""נשיכות קטנות"" ",ISA-MOIN-InteriorFilmCensor-00112o7," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",התפתחות הקולנוע בישראל,צנזורה לסרטים ומחזות,,,
קללת אנשי החתול,Cat People,"Fantasy, Horror, Thriller",1982,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808add33,https://www.imdb.com/title/tt0083722,תיק מסמכים,21/07/1982,17/10/1982," המועצה לביקורת סרטים- ""קללת אנשי החתול"" ",ISA-MOIN-InteriorFilmCensor-000f9un," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",התפתחות הקולנוע בישראל,צנזורה לסרטים ומחזות,,,
תיק אודסה,The Odessa File,"Drama, Thriller",1974,"United Kingdom, West Germany",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808a7427,https://www.imdb.com/title/tt0071935,תיק מסמכים,04/01/1974,05/11/1974," ישיבת המועצה לביקורת סרטים ומחזות. אישור הקרנת הסרט ""תיק אודסה""
 ",ISA-MOIN-InteriorFilmCensor-000f797," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",צנזורה - כללי,צנזורה לסרטים ומחזות,,,
יומו של הארבה,The Day of the Locust,"Drama, Thriller",1975,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068086deb4,https://www.imdb.com/title/tt0072848,תיק מסמכים,22/07/1975,02/09/1975," התיק מכיל בקשה להצגת הסרט יומו של הארבה  (DAY OF THE LOCUST) שנשלחה למועצה לביקורת סרטים ומחזות, תוכן הסרט בטקסט ובתמונות, אישור המועצה, וזיכרון דברים מישיבת המועצה. ",ISA-MOIN-InteriorFilmCensor-000ekl0," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות "," צנזורה - כללי,אירועי תרבות ופסטיבלים ",צנזורה לסרטים ומחזות,,,
הניצוץ,The Shining,"Drama, Horror",1980,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f1e0c,https://www.imdb.com/title/tt0081505,תיק מסמכים,12/08/1980,24/08/1980," בקשה לרישיון הצגת הסרט ""הניצוץ"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות' בע""מ, תקציר עלילת הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d7dy," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
אהבה אטומית,I.Q.,"Comedy, Romance",1994,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680c897c2,https://www.imdb.com/title/tt0110099,תיק מסמכים,01/01/1995,31/12/1995," בתיק מסמכים הנוגעים לבחינת הסרט 'אהבה אטומית' על ידי המועצה לביקורת סרטים ומחזות. בתיק ניתן למצוא פרוטוקולים מישיבות הועדה, כרזות ומסמכים המתארים את הסרט והשחקנים בו. ",ISA-MOIN-InteriorFilmCensor-000q5jq," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",התפתחות הקולנוע בישראל,צנזורה לסרטים ומחזות,,,
ללכת עד הסוף,The Full Monty,"Comedy, Drama",1997,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808d8919,https://www.imdb.com/title/tt0119164,תיק מסמכים,18/08/1997,02/11/1997," התיק מכיל חליפת מסמכים בעניין הקרנת הסרט ""ללכת עד הסוף"" בישראל, אישורי המועצה לביקורת סרטים, וכן קובצי הסבר בעברית ובאנגלית על הסרט. ",ISA-MOIN-InteriorFilmCensor-000fqqv," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות "," צנזורה - כללי,אירועי תרבות ופסטיבלים ",צנזורה לסרטים ומחזות,,,
הזעם,The Fury,"Horror, Sci-Fi, Thriller",1978,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680881476,https://www.imdb.com/title/tt0077588,תיק מסמכים,04/07/1978,05/10/1978," תיק של משרד הפנים.
תכתובת של חברי המועצה לביקורת סרטים ומחזות בדיון אילו סרטים מותרים להקרנה ואילו לא.
מתן רישיון להקרנה עבור הסרט - ""הזעם"" - עם הגבלה של הורדת קטע מהמערכה האחרונה.
עוד בתיק - תקציר הסרט - ""הזעם"" - בעברית ובאנגלית. ",ISA-MOIN-InteriorFilmCensor-000es8l," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
באטמן,Batman,"Action, Adventure",1989,"United States, United Kingdom",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842f13,https://www.imdb.com/title/tt0096895,תיק מסמכים,30/07/1989,27/08/1989," בקשה לרישיון הצגת הסרט ""באטמן"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3hq," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
התנפצות,Shattered,"Crime, Drama, Mystery, Thriller",1991,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680831372,https://www.imdb.com/title/tt0102900,תיק מסמכים,09/01/1992,27/01/1992," בקשה לרישיון הצגת הסרט ""התנפצות"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dwfu," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
נעול,Lock Up,"Action, Crime, Drama, Thriller",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842f16,https://www.imdb.com/title/tt0097770,תיק מסמכים,01/08/1989,10/10/1989," בקשה לרישיון הצגת הסרט ""נעול"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3ht," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
סלסה,Salsa,"Music, Romance",1988,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808310ec,https://www.imdb.com/title/tt0096030,תיק מסמכים,12/05/1988,24/05/1988," בקשה לרישיון הצגת הסרט ""סלסה"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dwdg," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
מצולות,The Abyss,"Adventure, Drama, Mystery, Sci-Fi, Thriller",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068085a458,https://www.imdb.com/title/tt0096754,תיק מסמכים,12/01/1989,31/10/1989," בקשה לרישיון הצגת הסרט ""מצולות"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ecqv," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
עישון,Smoke,"Comedy, Drama",1995,"Germany, Japan, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068046f128,https://www.imdb.com/title/tt0114478,תיק מסמכים,03/09/1995,03/09/1995," התיק מכיל מסמכים מאת המועצה לבקורת סרטי קולנוע בנושא סרט ""עישון"". ",ISA-MOIN-InteriorFilmCensor-00035po," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות "," בריאות הציבור,צנזורה - כללי,עישון,מדיניות הבריאות "," המועצה הישראלית לקולנוע,צנזורה לסרטים ומחזות ",,,
הנסיכה הקסומה,The Princess Bride,"Adventure, Family, Fantasy, Romance",1987,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808310f1,https://www.imdb.com/title/tt0093779,תיק מסמכים,19/05/1988,20/06/1988," בקשה לרישיון הצגת הסרט ""הנסיכה הקסומה"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י מפיצי סרטים שבעה כוכבים בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dwdl," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
עולם המים,Waterworld,"Action, Adventure, Sci-Fi",1995,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680467ff8,https://www.imdb.com/title/tt0114898,תיק מסמכים,16/08/1995,28/08/1995," בקשה לרישיון הצגת הסרט ""עולם המים"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-0003431," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
חשדות מהעבר,Dolores Claiborne,"Crime, Drama, Mystery, Thriller",1995,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068045f3e2,https://www.imdb.com/title/tt0109642,תיק מסמכים,27/02/1995,24/07/1995," בקשה לרישיון הצגת הסרט ""חשדות מהעבר"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י פורום פילם בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-0003084," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
טומי בוי,Tommy Boy,"Adventure, Comedy",1995,"United States, Canada",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068046b0ca,https://www.imdb.com/title/tt0114694,תיק מסמכים,22/06/1995,10/07/1995," בקשה לרישיון הצגת הסרט ""טומי בוי"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-0003590," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
בכוננות מתמדת,The Last Boy Scout,"Action, Comedy, Crime, Thriller",1991,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808312d1,https://www.imdb.com/title/tt0102266,תיק מסמכים,16/12/1991,02/03/1992," בקשה לרישיון הצגת הסרט ""בכוננות מתמדת"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן.
 ",ISA-MOIN-InteriorFilmCensor-000dwf9," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
האסופית,Anne of Green Gables,"Drama, Family",1985,"Canada, West Germany, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680831230,https://www.imdb.com/title/tt0088727,תיק מסמכים,10/07/1990,22/07/1990," בקשה לרישיון הצגת הסרט ""האסופית  - המשך"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י פורום פילם בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dweo," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
שושנת פרא,Rambling Rose,Drama,1991,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068083136e,https://www.imdb.com/title/tt0102753,תיק מסמכים,01/12/1991,09/03/1992," בקשה לרישיון הצגת הסרט ""שושנת פרא"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dwfq," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
חטאי מלחמה,Casualties of War,"Action, Crime, Drama, War",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068085a4a3,https://www.imdb.com/title/tt0097027,תיק מסמכים,17/08/1989,20/11/1989," בקשה לרישיון הצגת הסרט ""חטאי מלחמה"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ecr0," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,," מלחמת וייטנאם, 1955- 1975 ",
ללכת שבי אחריו,Dead Poets Society,"Comedy, Drama",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842e76,https://www.imdb.com/title/tt0097165,תיק מסמכים,17/07/1989,12/09/1989," בקשה לרישיון הצגת הסרט ""ללכת שבי אחריו"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3h9," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
בני דודים,Cousins,"Comedy, Romance",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808304ba,https://www.imdb.com/title/tt0097116,תיק מסמכים,30/06/1989,16/07/1989," בקשה לרישיון הצגת הסרט ""בני דודים"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dw2n," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
"מותק, הילדים התכווצו","Honey, I Shrunk the Kids","Adventure, Comedy, Family, Sci-Fi",1989,"United States, Mexico",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842e77,https://www.imdb.com/title/tt0097523,תיק מסמכים,17/07/1989,20/08/1989," בקשה לרישיון הצגת הסרט ""מותק, הילדים התכווצו"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3ha," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
בעל זבוב,Lord of the Flies,"Adventure, Drama, Thriller",1990,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068083064c,https://www.imdb.com/title/tt0100054,תיק מסמכים,19/08/1990,20/09/1990," בקשה לרישיון הצגת הסרט ""בעל זבוב"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י פורום פילם בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dw43," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
מת לחיות 2,Die Hard 2,"Action, Thriller",1990,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808448f2,https://www.imdb.com/title/tt0099423,תיק מסמכים,09/07/1990,01/08/1990," בקשה לרישיון הצגת הסרט ""מת לחיות 2"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e44s," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
סיכון רטוב,Dead Calm,"Horror, Thriller",1989,Australia,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680830468,https://www.imdb.com/title/tt0097162,תיק מסמכים,08/06/1989,26/06/1989," בקשה לרישיון הצגת הסרט ""סיכון רטוב"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dw2b," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
אני מת עלייך,I Love You to Death,"Comedy, Crime",1990,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680831192,https://www.imdb.com/title/tt0099819,תיק מסמכים,09/05/1990,10/07/1990," בקשה לרישיון הצגת הסרט ""אני מת עלייך"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן.
 ",ISA-MOIN-InteriorFilmCensor-000dwe6," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
ליגה לאומית,Major League,"Comedy, Sport",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680848655,https://www.imdb.com/title/tt0097815,תיק מסמכים,29/08/1989,26/09/1989," בקשה לרישיון הצגת הסרט ""ליגה לאומית"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י גלפנדפילם בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e5nf," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
פרקליט במילכוד,Criminal Law,"Crime, Drama, Thriller",1988,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842ec4,https://www.imdb.com/title/tt0097125,תיק מסמכים,03/08/1989,13/08/1989," בקשה לרישיון הצגת הסרט ""פרקליט במילכוד"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י גלפנדפילם בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3hh," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
פסגת הפחד,Cape Fear,"Crime, Thriller",1991,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680831371,https://www.imdb.com/title/tt0101540,תיק מסמכים,01/01/1992,20/01/1992," בקשה לרישיון הצגת הסרט ""פסגת הפחד"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dwft," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
נקמה עיוורת,Blind Fury,"Action, Comedy, Crime, Drama, Thriller",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842e78,https://www.imdb.com/title/tt0096945,תיק מסמכים,27/06/1989,05/09/1989," בקשה לרישיון הצגת הסרט ""נקמה עיוורת"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3hb," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
רצח מן העבר,Dead Again,"Crime, Drama, Mystery, Thriller",1991,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068083127e,https://www.imdb.com/title/tt0101669,תיק מסמכים,16/12/1991,15/01/1992," בקשה לרישיון הצגת הסרט ""רצח מן העבר"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dwew," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
שומר הבארים,Road House,"Action, Thriller",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808304b9,https://www.imdb.com/title/tt0098206,תיק מסמכים,02/07/1989,09/07/1989," בקשה לרישיון הצגת הסרט ""שומר הבארים"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dw2m," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
אריק הויקינג,Erik the Viking,"Comedy, Adventure, Fantasy",1989,"United Kingdom, Sweden",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808486a5,https://www.imdb.com/title/tt0097289,תיק מסמכים,10/09/1989,26/09/1989," בקשה לרישיון הצגת הסרט "" אריק הויקינג"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י סטילר פילם בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e5np," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
שדה החלומות,Field of Dreams,"Drama, Family, Fantasy, Sport",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068083055b,https://www.imdb.com/title/tt0097351,תיק מסמכים,27/06/1989,21/11/1989," בקשה לרישיון הצגת הסרט ""שדה החלומות"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dw38," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
ימי הרעם,Days of Thunder,"Action, Drama, Sport",1990,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680844946,https://www.imdb.com/title/tt0099371,תיק מסמכים,16/08/1990,02/09/1990," בקשה לרישיון הצגת הסרט ""ימי הרעם"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e456," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
