Name,original_title,genre,year,origin country,Archive Link,IMDB Link,Case type,Material period from,Material period up to,Description,File number to quote,Creating body position,Subjects,Bodies,Place,Events,Persons
מלחמה ושלום,War and Peace,"Drama, Romance, War",1956,"United States, Italy",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a8cf3,https://www.imdb.com/title/tt0049934,תיק מסמכים,23/01/1957,04/08/1957," בקשת ""חברת פאראמונט לפילמים בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מלחמה ושלום"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cery," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אילוף הסוררת,The Taming of the Shrew,"Comedy, Drama, Romance",1967,"Italy, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807912ff,https://www.imdb.com/title/tt0061407,תיק מסמכים,12/05/1967,06/06/1967," בקשת ""א.ד מטלון ושות' בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אילוף הסוררת"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c5fs," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
ג'ק קוטל הענקים,Jack the Giant Killer,"Adventure, Family, Fantasy",1962,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d4d6b,https://www.imdb.com/title/tt0056112,תיק מסמכים,03/06/1962,19/10/1962," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""ג'ק קוטל הענקים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cvy6," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
שבעת המופלאים,The Magnificent Seven,"Action, Adventure, Western",1960,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d2844,https://www.imdb.com/title/tt0054047,תיק מסמכים,08/12/1960,15/05/1961," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""שבעת המופלאים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cv11," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אדי פלסון,The Hustler,"Drama, Sport",1961,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068078fa5e,https://www.imdb.com/title/tt0054997,תיק מסמכים,17/10/1961,22/12/1961," בקשת ""טוונטיס סנטורי פוקס אימפורט קורפורשיון"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אדי פלסון"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c4tz," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
בית התה של ירח אוגוסט,The Teahouse of the August Moon,"Comedy, Drama",1956,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a8c54,https://www.imdb.com/title/tt0049830,תיק מסמכים,30/12/1956,09/07/1957," בקשת ""מטרו- גולדוין- מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""בית התה של ירח אוגוסט"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cerf," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
יום לפני הכניעה,Battle of the Bulge,"Drama, History, War",1965,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706806f51f4,https://www.imdb.com/title/tt0058947,תיק מסמכים,10/07/1966,25/07/1966," בקשת ""וורנר ברוס פ.נ.פ. אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""יום לפני הכניעה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרשיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000afm7," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
עץ התליה,The Hanging Tree,Western,1959,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068078f8cf,https://www.imdb.com/title/tt0052876,תיק מסמכים,03/04/1959,10/05/1959," בקשת ""וורנר ברוס פירסט נשיונל פיקטורס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""עץ התלייה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c4sm," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
בודדה באפלה,Wait Until Dark,Thriller,1967,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ce55a,https://www.imdb.com/title/tt0062467,תיק מסמכים,07/12/1967,26/12/1967," בקשת ""וורנר ברוס- סבן ארטס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""בודדה באפילה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ctdn," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
פאריש,Parrish,Drama,1961,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068080cf26,https://www.imdb.com/title/tt0055279,תיק מסמכים,28/05/1961,06/09/1961," בקשת ""וורנר ברוס. פירסט נשיונל פיקטורס אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""פאריש"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000di0p," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
